2019-07-02 12:08:18,345 [1] INFO  Photon.LoadBalancing.GameServer.GameApplication - Setup: serverId=b18d3fb0-f1e5-40d1-bb65-7b4b64680c9a
2019-07-02 12:08:20,012 [1] INFO  Photon.SocketServer.Diagnostics.PerfCounterManagerBase - PerformanceCounter category 'Photon: Http Queue Counters' does not exists and will be created
2019-07-02 12:08:20,170 [1] INFO  Photon.SocketServer.Diagnostics.HttpQueuePerformanceCounters - HTTP Queue performance counters successfully initialized
2019-07-02 12:08:20,174 [1] INFO  Photon.SocketServer.Diagnostics.HttpQueuePerformanceCounters - Internal HTTP Queue performance counters successfully created
2019-07-02 12:08:20,182 [1] INFO  Photon.LoadBalancing.GameServer.GameApplication - TokenCreator intialized with an expiration of 02:46:40
2019-07-02 12:08:21,836 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter Business Logic Queue
2019-07-02 12:08:21,840 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter ENet Queue
2019-07-02 12:08:21,844 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter bytes in/sec
2019-07-02 12:08:21,848 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter bytes out/sec
2019-07-02 12:08:21,852 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter ENet Threads Processing
2019-07-02 12:08:21,856 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter ENet Threads Active
2019-07-02 12:08:21,859 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter Time Spent In Server: In (ms)
2019-07-02 12:08:21,863 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter Time Spent In Server: Out (ms)
2019-07-02 12:08:21,867 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter TCP: Disconnected Peers +/sec
2019-07-02 12:08:21,871 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter TCP: Disconnected Peers (C) +/sec
2019-07-02 12:08:21,875 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter TCP: Peers
2019-07-02 12:08:21,879 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter UDP: Disconnected Peers +/sec
2019-07-02 12:08:21,884 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter UDP: Disconnected Peers (C) +/sec
2019-07-02 12:08:21,888 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter UDP: Peers
2019-07-02 12:08:21,898 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.FeedbackControlSystem - Could not initialize Feedback Control System from configuration: Invalid configuration file C:\Photon Server v4\deploy\Workload.config. Using default settings... ('C:\Photon Server v4\deploy\Workload.config' 파일을 찾을 수 없습니다.)
2019-07-02 12:08:21,908 [1] INFO  Photon.Common.LoadBalancer.ServerStateManager - Watching for application state file in C:\Photon Server v4\deploy\ServerState.txt
2019-07-02 12:08:21,913 [1] INFO  Photon.Common.LoadBalancer.ServerStateManager - Server state is set to online
2019-07-02 12:08:21,918 [1] INFO  Photon.LoadBalancing.GameServer.GameApplication - Initializing master server connection ...
2019-07-02 12:08:21,953 [1] INFO  Photon.LoadBalancing.GameServer.MasterServerConnectionBase - Connecting to master at 127.0.0.1:4520, serverId=b18d3fb0-f1e5-40d1-bb65-7b4b64680c9a
2019-07-02 12:08:21,970 [1] INFO  Photon.SocketServer.ApplicationBase - Application start: AppId=Game; AppPath=C:\Photon Server v4\deploy\LoadBalancing\GameServer, Type=Photon.LoadBalancing.GameServer.GameApplication 
2019-07-02 12:08:21,979 [1] INFO  Photon.SocketServer.Diagnostics.CounterPublisher - CounterPublisher started publishing ExitGames.Diagnostics.Monitoring.CounterSamplePublisher to ExitGames.Diagnostics.Monitoring.CounterSampleSender
2019-07-02 12:08:24,236 [15] INFO  Photon.LoadBalancing.GameServer.MasterServerConnectionBase - Master connection established: address:127.0.0.1
2019-07-02 12:08:24,241 [15] INFO  Photon.Common.LoadBalancer.ServerStateManager - Server state is set to online
2019-07-02 12:08:24,248 [15] INFO  Photon.LoadBalancing.GameServer.OutgoingMasterServerPeer - Registering game server with address 127.0.0.1, TCP 4531, UDP 5056, WebSocket 9091, Secure WebSocket 19091, HTTP 80, ServerID b18d3fb0-f1e5-40d1-bb65-7b4b64680c9a, Hostname localhost, IPv6Address 
2019-07-02 12:08:24,307 [14] INFO  Photon.LoadBalancing.GameServer.OutgoingMasterServerPeer - Successfully registered at master server: serverId=b18d3fb0-f1e5-40d1-bb65-7b4b64680c9a
2019-07-02 12:09:02,864 [4] INFO  Photon.LoadBalancing.GameServer.GameApplication - Setup: serverId=94a428a2-12bf-4adb-bc3e-a55fae7536c0
2019-07-02 12:09:03,474 [4] INFO  Photon.SocketServer.Diagnostics.HttpQueuePerformanceCounters - HTTP Queue performance counters successfully initialized
2019-07-02 12:09:03,479 [4] INFO  Photon.SocketServer.Diagnostics.HttpQueuePerformanceCounters - Internal HTTP Queue performance counters successfully created
2019-07-02 12:09:03,486 [4] INFO  Photon.LoadBalancing.GameServer.GameApplication - TokenCreator intialized with an expiration of 02:46:40
2019-07-02 12:09:04,566 [4] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter Business Logic Queue
2019-07-02 12:09:04,571 [4] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter ENet Queue
2019-07-02 12:09:04,576 [4] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter bytes in/sec
2019-07-02 12:09:04,580 [4] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter bytes out/sec
2019-07-02 12:09:04,585 [4] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter ENet Threads Processing
2019-07-02 12:09:04,591 [4] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter ENet Threads Active
2019-07-02 12:09:04,596 [4] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter Time Spent In Server: In (ms)
2019-07-02 12:09:04,600 [4] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter Time Spent In Server: Out (ms)
2019-07-02 12:09:04,604 [4] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter TCP: Disconnected Peers +/sec
2019-07-02 12:09:04,608 [4] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter TCP: Disconnected Peers (C) +/sec
2019-07-02 12:09:04,613 [4] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter TCP: Peers
2019-07-02 12:09:04,617 [4] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter UDP: Disconnected Peers +/sec
2019-07-02 12:09:04,621 [4] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter UDP: Disconnected Peers (C) +/sec
2019-07-02 12:09:04,625 [4] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter UDP: Peers
2019-07-02 12:09:04,635 [4] WARN  Photon.Common.LoadBalancer.LoadShedding.FeedbackControlSystem - Could not initialize Feedback Control System from configuration: Invalid configuration file C:\Photon Server v4\deploy\Workload.config. Using default settings... ('C:\Photon Server v4\deploy\Workload.config' 파일을 찾을 수 없습니다.)
2019-07-02 12:09:04,645 [4] INFO  Photon.Common.LoadBalancer.ServerStateManager - Watching for application state file in C:\Photon Server v4\deploy\ServerState.txt
2019-07-02 12:09:04,651 [4] INFO  Photon.Common.LoadBalancer.ServerStateManager - Server state is set to online
2019-07-02 12:09:04,656 [4] INFO  Photon.LoadBalancing.GameServer.GameApplication - Initializing master server connection ...
2019-07-02 12:09:04,685 [4] INFO  Photon.LoadBalancing.GameServer.MasterServerConnectionBase - Connecting to master at 127.0.0.1:4520, serverId=94a428a2-12bf-4adb-bc3e-a55fae7536c0
2019-07-02 12:09:04,705 [4] INFO  Photon.SocketServer.ApplicationBase - Application start: AppId=Game; AppPath=C:\Photon Server v4\deploy\LoadBalancing\GameServer, Type=Photon.LoadBalancing.GameServer.GameApplication 
2019-07-02 12:09:04,714 [4] INFO  Photon.SocketServer.Diagnostics.CounterPublisher - CounterPublisher started publishing ExitGames.Diagnostics.Monitoring.CounterSamplePublisher to ExitGames.Diagnostics.Monitoring.CounterSampleSender
